,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3, D, major, 111.819168091,0.0,0.0,0.0,0.0,0.0,0.0006527719373812762,0.0,0.0,8.159649217265953e-05
1,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.1699615093748893,0.15619783457845185,0.4409459697412663,0.4271151885830785,0.9426560582640785,0.0025207229133458096,0.13788440832393659,0.13282470944552838,0.3012633001530719
2,music/Purple_Rain/prince+Purple_Rain+09-Purple_Rainmp3, A#, major, 113.535438538,0.2416475778831419,0.41082322441726715,0.2714655333849478,0.7186544342507645,0.707648784662653,0.017192207606022098,0.22924951028704596,0.08126041045925182,0.33474271036888675
3,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3, G, major, 110.373329163,0.20491711777054616,0.3249028164808251,0.2736477062784217,0.3893985728848114,0.9591775792615667,0.011701369305995074,0.3407708131248935,0.2318230775826481,0.3420423815862135
4,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.19215046923797244,0.22878085066210666,0.3323703326895503,0.6279306829765545,0.9367991308242306,0.0031057704968756724,0.1775495170285885,0.26151419267987613,0.3450251183244693
5,music/Real_Men/tori_amos+Strange_Little_Girls+12-Real_Menmp3, F#, minor, 111.568817139,0.28649312359851203,0.11831316794838662,0.30526489668260753,0.41182466870540263,0.9604130390444461,0.007641914786278818,0.48500587730332917,0.21388904349597593,0.34860571644561733
6,music/Caroline_No/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+11-Caroline_Nomp3, C, major, 143.708587646,0.22720507021307573,0.1674420648300778,0.6905920101961814,0.4964322120285423,0.91895948714479,0.0017621348865425445,0.1540236558818461,0.1489958824849559,0.3506765647082515
7,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.28251551189044516,0.2646640824710793,0.6948371769322574,0.381243628950051,0.9627937060131176,0.005221167430248932,0.14305535038864747,0.09395912921659193,0.35353621916155487
8,music/My_Heart_Will_Go_On/celine_dion+Au_Coer_Du_Stade+11-My_Heart_Will_Go_Onmp3, D#, major, 99.0313949585,0.26450896965221765,0.2425710849068605,0.6848294906660779,0.4454638124362895,0.9416160215423496,0.0008604299158600102,0.1334806427287894,0.13433212854417645,0.35595782254907765
9,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.26994719332601014,0.3038948395986518,0.45024540151657017,0.40978593272171254,0.9705716535978101,0.002759517856478878,0.36222864936263605,0.08661150202229652,0.3570055862502708
