,original vs detected,count
0,"(Thin_Line_Between_Love_And_Hate, Thin_Line_Between_Love_And_Hate)",1
1,"(Strange_Little_Girl, Strange_Little_Girl)",1
2,"(Never_Let_Me_Down_Again, Never_Let_Me_Down_Again)",1
3,"(Blue_Collar_Man, Blue_Collar_Man)",1
4,"(We_Can_Work_It_Out, We_Can_Work_It_Out)",1
5,"(Straight_From_The_Heart, Straight_From_The_Heart)",1
6,"(Walking_After_Midnight, Walking_After_Midnight)",1
7,"(God_Only_Knows, God_Only_Knows)",1
8,"(A_Whiter_Shade_Of_Pale, A_Whiter_Shade_Of_Pale)",1
9,"(I_Don_t_Like_Mondays, I_Don_t_Like_Mondays)",1
10,"(Grand_Illusion, Grand_Illusion)",1
11,"(River_Deep_Mountain_High, River_Deep_Mountain_High)",1
12,"(Addicted_To_Love, Addicted_To_Love)",1
13,"(Claudette, Claudette)",1
14,"(Let_It_Be, Let_It_Be)",2
15,"(Take_On_Me, Take_On_Me)",1
16,"(I_m_Losing_You, I_m_Losing_You)",1
17,"(Don_t_Let_It_Bring_You_Down, Don_t_Let_It_Bring_You_Down)",1
18,"(Downtown_Lights, Downtown_Lights)",1
19,"(The_Boxer, The_Boxer)",1
20,"(September_Gurls, September_Gurls)",1
21,"(Caroline_No, Caroline_No)",1
22,"(Lady, Lady)",1
23,"(White_Room, White_Room)",1
24,"(Between_The_Bars, Between_The_Bars)",1
25,"(Abracadabra, Abracadabra)",1
26,"(Night_Time_Is_The_Right_Time, Night_Time_Is_The_Right_Time)",1
27,"(More_Than_Words, More_Than_Words)",1
28,"(I_Love_You, I_Love_You)",1
29,"(Lodi, Lodi)",1
30,"(Come_Together, Come_Together)",1
